Algorithm,Heuristic,Time (s),Plan Length,Status
GBFS,HMAX,1.19,22,success
GBFS,HADD,0.10,23,success
GBFS,HFF,0.12,20,success
GBFS,LANDMARK,0.08,24,success
EHC,HMAX,TIMEOUT,N/A,timeout
EHC,HADD,0.13,23,success
EHC,HFF,0.09,20,success
EHC,LANDMARK,0.09,29,success
